group_type,name,description,contact_emails,advisor,funding_category,tags,website_url,instagram_url,facebook_url,linkedin_url,youtube_url,twitter_url,tiktok_url,other_social_urls,source_url,directory_source_url
Undergraduate student group,Chinese Students Association,"The Brown University Chinese Students Association seeks to celebrate and embrace Chinese culture at Brown, embodying both international and domestic strata of our diverse community. Through sponsored lectures, annual Chinese holiday celebrations, general body assemblies, families, and social events, CSA hopes to foster forums for students to experience and discuss Chinese culture.",thecsa@brown.edu,Antwan Bluster,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/browncsa,,,,,,,https://studentactivities.brown.edu/organizations/chinese-students-association,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Christian Fellowship, Brown","The Brown Christian Fellowship (BCF) is an organization that brings Christian and Non-Christian students together for weekly Bible Studies, prayer meetings, and occasional extra activities (like movie nights, art nights, or Ask-Me-Anything events). BCF encourages students from all backgrounds to engage in spiritual dialogues with one another.",brownchristianfellowship@brown.edu,Antwan Bluster,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownchristianfellowship,,,,,,,https://studentactivities.brown.edu/organizations/christian-fellowship-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Christian Union,"Christian Union is a Christian leadership development group that meets bi-weekly for worship, meals, and their leadership lecture series. The ministry offers students discipleship, fellowship, pastoral leadership, prayer, trainings and retreats. CU holds a weekly prayer meeting at their ministry center which includes pancakes! Bible studies are held weekly at the ministry center. All students are welcome!",christianunion@brown.edu,Antwan Bluster,Category 1,UCS Recognized Undergrad Student Groups,,https://instagram.com/culibertas,,,,,,,https://studentactivities.brown.edu/organizations/christian-union,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Church of Darkness,"The Church of Darkness is an inter-faith group committed to spreading, peace, joy, happiness, fun, and darkness on Brown's campus. We primarily host moon heralding events where we worship the Spider God Atlach Nacha, disco nights, eclipse parties, and chanting walks. We also enjoy turning off the lights in rooms we enter as part of our ritual.",darkness@brown.edu,Antwan Bluster,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/darkness.church,,,,,,,https://studentactivities.brown.edu/organizations/church-darkness,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Circle of Women,"Circle of Women seeks to extend access to secondary education for girls in areas where there is an enrollment drop post-primary school, primarily through fundraising for infrastructure projects. CoW partners with local communities to meet their needs and support projects they initiate.",circleofwomen@brown.edu,Antwan Bluster,Category 1,UCS Recognized Undergrad Student Groups,,https://instagram.com/browncircleofwomen,,,,,,,https://studentactivities.brown.edu/organizations/circle-women,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,CityStep Brown,"We seek to bring movement and confidence into children's lives through our culturally responsive dance education. Our team will travel together to a Providence public elementary school to teach fourth or fifth graders a weekly arts curriculum we develop based on CityStep’s pedagogy–exercises and games that are fun, engaging, expressive and collaborative. We’ll aim to strengthen each child’s sense of self and deepen their connection to one another as they develop artistic skills. Our goal is to encourage kids to step outside of their comfort zone, the full expression of which will be the end-of-year event where they perform an original work, alongside their teachers, for family, friends, the people of Providence and the Brown community. All CityStep constituents are invited to attend the annual CityStep All-Company Training Retreat each year in New York City. Anyone can participate in CityStep Brown regardless of prior dance experience.",citystepbrown@brown.edu,Antwan Bluster,Category 1,UCS Recognized Undergrad Student Groups,,https://instagram.com/citystep_org,,,,,,,https://studentactivities.brown.edu/organizations/citystep-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Class Coordinating Board,"Class Coordinating Board (CCB) is a branch of student government at Brown University, consisting of four undergraduate class boards. Each class board’s mission is the same: to create a better Brown student experience by conceptualizing & executing campus-wide events to foster community and build tradition. Each class board plans events for its individual undergraduate class, and works with the other three class boards to build events for the undergraduate community as a whole.",classboard@brown.edu,,Student Governance,UCS Recognized Undergrad Student Groups,,,,,,,,,https://studentactivities.brown.edu/organizations/class-coordinating-board,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Class Coordinating Board, First-Year","Class Coordinating Board (CCB) is a branch of student government at Brown University responsible for fostering community at Brown by conceptualizing and executing events for the undergraduate student body. Consisting of up to 25 members that are elected by the student body, CCB carries out some of Brown's most popular events each year, including Gala, A Night On College Hill, Carnival, and Gigs on the Green.",classboard@brown.edu,,Student Governance,UCS Recognized Undergrad Student Groups,,,https://www.facebook.com/brownclassboard,,,,,,https://studentactivities.brown.edu/organizations/class-coordinating-board-first-year,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Class Coordinating Board, Junior","Class Coordinating Board is a branch of student government that plans social events including dances, concerts, and class-specific outings to help the undergraduate community foster a sense of spirit.",classboard@brown.edu,,Student Governance,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownccb28,,,,,,,https://studentactivities.brown.edu/organizations/class-coordinating-board-junior,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Class Coordinating Board, Senior","The 2026 Class Coordinating Board plans events for its individual undergraduate class throughout the school year, leads the 2026 Senior Week, and works with the other three class boards to build events for the undergraduate community as a whole. All CCB events are free! Our events can be anything from movie nights to incredibly large scale events like Gala, Gigs, or Senior Week (that see over 1500+ students attend and take months to plan!).",classboard@brown.edu,,Student Governance,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownccb27,,,,,,,https://studentactivities.brown.edu/organizations/class-coordinating-board-senior,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Class Coordinating Board, Sophomore","Class Coordinating Board is a branch of student government that plans social events including dances, concerts, and class-specific outings to help the undergraduate community foster a sense of spirit.",classboard@brown.edu,,Student Governance,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownccb29,,,,,,,https://studentactivities.brown.edu/organizations/class-coordinating-board-sophomore,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Climbing, Brown",Brown Climbing provides a welcoming and supportive space for Brown students to climb recreationally and competitively. BroCli has a competitive team that trains for the fall bouldering and spring rope climbing seasons. Their team competes in USA Climbing’s North East Collegiate Division. The club also hosts frequent climbing trips including the weekly Sunday Night Climbing (SNC).,climbing@brown.edu,Malcom Moniz,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownclimbing,,,,,,,https://studentactivities.brown.edu/organizations/climbing-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Coffee Club, Brown","Brown Coffee Club is a community-oriented club with a focus on celebrating our shared love of coffee. Club events include coffee tastings, brewing tutorials, roastery visits, and other fun coffee-related activities of interest to our club members. Brown Coffee Club is a low-commitment, laid-back environment for coffee drinkers to enjoy our shared hobby! Brown Coffee Club is open to all undergraduate and graduate members of the Brown community, regardless of experience, race, color, sex, age, etc",browncoffeeclub@brown.edu,Malcom Moniz,Category 1,UCS Recognized Undergrad Student Groups,,https://instagram.com/thebrowncoffeeclub,,,,,,,https://studentactivities.brown.edu/organizations/coffee-club-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,College Hill Independent,"The College Hill Independent is a Brown/RISD publication and workshopping space. We print alt-weekly issues, giving a great number of students the opportunity to write, edit, illustrate, design, copy edit, and get experience working in a fast-paced publishing setting. We distribute copies on and off campus, and maintain a website. We publish a wide variety of work, from humor to Providence-based reported news to long-form feature pieces on things you’ve never heard of or thought about.",theindy@brown.edu,,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/theindypvd,,,,,,,https://studentactivities.brown.edu/organizations/college-hill-independent,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,College Hill Irish Music Ensemble,College Hill Irish Music Ensemble is Brown's first club dedicated to performing traditional Irish music. It is open to all. CHIME seeks to celebrate the joy of Irish pub culture by bringing music to public spaces at Brown and beyond!,irishmusic@brown.edu,Jen Lucero,Category 1,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownirishmusic,,,,,,,https://studentactivities.brown.edu/organizations/college-hill-irish-music-ensemble,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Collegiate Consulting Group,"CCG educates and empowers Brown students—regardless of concentration or career goals—through real-world projects, professional development workshops, and networking events. With a focus on real-world experience, CCG equips students with practical knowledge, industry exposure, and a supportive community to explore careers in consulting and beyond.",collegiateconsultinggroup@brown.edu,Marisa Fortney,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/ccgbrown,,,,,,,https://studentactivities.brown.edu/organizations/collegiate-consulting-group,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Colombian Student Association (COSA),"The Colombian Student Association (COSA) is a space for sharing and connecting through the exploration and celebration of Colombian culture. We aim to foster community through educational and cultural programming that centers the importance of sharing and exchanging as key in becoming a closer-knit space. We are open to all Brown and RISD undergraduate students regardless of race, color, religion, sex, age, national or ethnic origin, disability, veteran status, sexual orientation, gender identity, gender expression, or caste. Ultimately, we hope to raise awareness to the reality of Colombian communities around the world and create a network of those passionate for advancing the culture, history and presence of Colombia.",cosa@brown.edu,Antwan Bluster,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/cosabrownuniversity,,,,,,,https://studentactivities.brown.edu/organizations/colombian-student-association-cosa,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Concert Agency, Brown","We organize and arrange Spring Weekend as well as supporting music related events throughout the year, either independently to showcase local/smaller artists or collaboratively with other student groups on campus.",brownconcertagency@brown.edu,Cassie Sutten Coats,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/BrownConcertAgency,,,,,,,https://studentactivities.brown.edu/organizations/concert-agency-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Connect for Health,"Connect for Health understands that a lack of basic resources is often at the root cause of poor health. It acknowledges that medicine alone cannot treat the non-medical factors that impact patients' health, and thus strives to integrate basic resources into healthcare delivery. By providing high-impact services to low-income families, Connect for Health is committed to the fight for health equity.",connectforhealth@brown.edu,Antwan Bluster,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/_connectforhealth,,,,,,,https://studentactivities.brown.edu/organizations/connect-health,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Consulting Club, Brown","The Brown Consulting Club (BCC) aims to provide students with skills and opportunities to lead and thrive professionally. Every semester, BCC works with several clients on high impact projects, as well as hosts professional development opportunities in the form of workshops, info sessions, firm visits and case competitions.",brownconsultingclub@brown.edu,Marisa Fortney,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownconsultingclub,,,,,,,https://studentactivities.brown.edu/organizations/consulting-club-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Cooking Club, Brown","Cooking Club hosts weekly cooking workshops teaching new recipes to members of the Brown community. We also host food related events with off campus partners such as restaurants and community service initiatives (Food Pantries), as well as collaborations with other campus groups.",cookingclub@brown.edu,Malcom Moniz,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/browncookingclub,,,,,,,https://studentactivities.brown.edu/organizations/cooking-club-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Cornerstone Magazine,"""Cornerstone is a publication that celebrates the truth and beauty of the Christian Gospel in order to glorify God, edify the Church, and reach the non-believer. We are open to all Brown students and aim to provoke spiritual thought on and around the campuses of Brown and RISD. We publish works of art, prose, and poetry of all denominational persuasions that exhibit intelligent and creative approaches to current events, history, and our Christian faith.",cornerstone@brown.edu,,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/cornerstone.magazine,,,,,,,https://studentactivities.brown.edu/organizations/cornerstone-magazine,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Create@Brown,"Create@Brown is a craft/DIY club that is open to all students, where any crafter--beginner or experienced--can come to learn and create. We hold monthly workshops to explore different creative projects, such embroidery, mosaics, and beading. We also hold monthly “creative open hours, "" where members can come and work on their own projects in a small community, as well as a semesterly Maker Market, where student vendors can sell their handmade goods to the campus community.",create@brown.edu,Jen Lucero,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/createatbrown,,,,,,,https://studentactivities.brown.edu/organizations/createbrown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Critical Review,"Founded in 1976, the Critical Review is a Brown University student-led organization that publishes course reviews based on surveys distributed to all students in every undergraduate class. At the end of the semester, professors administer surveys developed in conjunction with Brown University Faculty. The questionnaires comprise both open-ended and quantitative measures. During the semester, undergrads volunteer to synthesize the data into the reviews posted on the website.",critical_review@brown.edu,,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/browncriticalreview,,,,,,,https://studentactivities.brown.edu/organizations/critical-review,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Crosswording Club, The",The Crosswording Club holds weekly meetings for collaborative puzzle-making and puzzle-solving. They host tournaments at the end of each semester where teams of two face off against each other to solve crossword puzzles and win prizes and glory.,crosswordclub@brown.edu,Malcom Moniz,Category 2,UCS Recognized Undergrad Student Groups,,,,,,,,,https://studentactivities.brown.edu/organizations/crosswording-club,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Cuban Brunonians Association,"The Cuban Brunonians Association (CuBA) is focused on uniting all students through Cuban culture. Whether students are being introduced to Cuban traditions for the first time or come from a Cuban background, CuBA is open to all. This endeavor is not solely about the present; it is about laying the groundwork for a vibrant and enduring legacy that future generations of students can embrace and build upon. Beyond that, we hope that the Cuban Brunonians Association will bring students closer to their friends and family, their histories, and their identity.",cubans@brown.edu,Antwan Bluster,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/cubaatbrown,,,,,,,https://studentactivities.brown.edu/organizations/cuban-brunonians-association,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,cyBearSec @ Brown,"cyBearSec @ Brown is the university’s premier student organization focused on all things information security with an additional focus in cybersecurity. Open to all students, cyBearSec is dedicated to promoting safer computing practices, creating a space for anyone to explore the field regardless of background or experience, and providing hands-on opportunities to learn and build the necessary skills to be well-positioned for information security positions through workshops and competitions.",cyBearSec@brown.edu,Marisa Fortney,Category 1,UCS Recognized Undergrad Student Groups,,https://instagram.com/cybearsecbrown,,,,,,,https://studentactivities.brown.edu/organizations/cybearsec-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Dabke Club,"The Dabke Club at Brown University celebrates the Levantine folk dance of dabke by creating an inclusive, welcoming space for all students, regardless of background or experience level, to learn and perform. The club hosts events such as workshops and performances, fostering cultural understanding through fun and educational activities. Open to all undergraduate students, Dabke Club promotes respect, inclusivity, and anti-discrimination, ensuring a positive environment for every member.",dabke@brown.edu,Jen Lucero,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/dabkeatbrown,,,,,,,https://studentactivities.brown.edu/organizations/dabke-club,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,DAEBAK Kpop Dance Association,"Daebak is a cover dance group made up of students from Brown University and the Rhode Island School of Design (RISD). Founded in Spring 2013, they bring together a community of dancers and music enthusiasts to cover and perform Korean pop dances. In Korean, ‘Daebak’ means “awesome,” “cool,” or “extraordinary”—the name encompasses the amazing passion that individuals bring to their community.",daebak@brown.edu,Jen Lucero,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/daebakbrown,https://www.facebook.com/daebakbrown,,,,,,https://studentactivities.brown.edu/organizations/daebak-kpop-dance-association,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Dead Poets Society,"Dead Poets Society is a place where reading becomes a source of personal fulfilment and exploration. Centered around understanding human experiences of suffering and mortality, our community gathers every week to read short passages in a group setting. Then, we contemplate and reflect in open minded and honest ways, developing a humane curiosity about the limits of human experience. We are open to students of all backgrounds, beliefs, and levels of experience with such exploration.",deadpoetssociety@brown.edu,Antwan Bluster,Category 1,UCS Recognized Undergrad Student Groups,,,,,,,,,https://studentactivities.brown.edu/organizations/dead-poets-society,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Debating Union, Brown","The mission of the Brown Debating Union (BDU) is to develop and pursue excellence in public speaking and oration in the Brown community and to represent Brown University in intercollegiate parliamentary debate competitions. The BDU exists to support and sponsor its members to attend regular debate tournaments in the United States, Canada, and other nations. In addition, the BDU will host a yearly parliamentary debate tournament and internal tournament open only to students at Brown University.",debating@brown.edu,,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/browndebatingunion,,,,,,,https://studentactivities.brown.edu/organizations/debating-union-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Democrats, Brown","Brown Dems organizes activism, campaigns, and brings in great speakers that increase civic engagement.",browndems@brown.edu,Cassie Sutten Coats,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/browndems,,,,,,,https://studentactivities.brown.edu/organizations/democrats-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Derbies, Brown","Since 1982, The Brown Derbies have graced the time-honored walls of Brown University in Providence, RI. From Baton Rouge to Beijing, from San Francisco to Singapore, from Wayland Arch to the White House—the Derbies have established a renowned international, domestic, and on-campus presence since their founding.The oldest uninterrupted tenor-through-bass a cappella group on campus, the Derbies are known for their energetic performances, expert musicianship, and unique sound. They sing tunes ranging from ’80s hits to modern pop, entertaining a wide variety of audiences united by a common love for Beyonce. The Derbies have also just released their 16th studio album, Hats Off, which is available to stream on all platforms!",thebrownderbies@brown.edu,Jen Lucero,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownderbies,https://www.facebook.com/brownderbies/,,,,,,https://studentactivities.brown.edu/organizations/derbies-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Derivatives Investment Group, Brown","Instead of creating only buy/sell theses, the use of derivatives will empower its members to create and employ a multitude of theses on where a stock will go, including calls, puts, spreads, futures, and more. BDIG will hold weekly meetings consisting of mini stock pitches, educational sessions, and thorough stock pitches that will be voted upon by the group for potential purchase.",bdig@brown.edu,,Category 1,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownderivativeinvestmentgroup,,,,,,,https://studentactivities.brown.edu/organizations/derivatives-investment-group-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Design for America,"Design for America (DFA) seeks to tackle social problems through design thinking and with community partners! Guided by the human-centered design process, teams consisting of 4-6 people develop a project over the course of a school year. Final results range from pop-up exhibits, to organic pots, to zines.The RISD | Brown DFA studio has around 30 members annually from Brown University and RISD. Both Undergraduates and Graduates are welcome!",dfa@brown.edu,Antwan Bluster,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/dfarisdbrown,,,,,,,https://studentactivities.brown.edu/organizations/design-america,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Design x Health, Brown University Chapter","DesignXHealth is an innovation hub comprising students from Brown University, Rhode Island School of Design, and Alpert Medical School. We seek to work in interdisciplinary teams with physicians and healthcare professionals on engineering solutions to the problems and needs they see in healthcare.",ridesignxhealth@brown.edu,Antwan Bluster,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/dxh_pvd,,,,,,,https://studentactivities.brown.edu/organizations/design-x-health-brown-university-chapter,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Dharma Gyan International Youth Association,"DharmaGyan@Brown is an inclusive community where people from all backgrounds and identities are invited to come together to explore the foundational teaching of the Buddha, relative and ultimate truth, the journey to awakening, the characteristics of reality, and traditional meditation. We encourage the understanding that personal happiness begins with accepting responsibility for the welfare of all beings.",dharmagyan@brown.edu,Antwan Bluster,Category 1,UCS Recognized Undergrad Student Groups,,,,,,,,,https://studentactivities.brown.edu/organizations/dharma-gyan-international-youth-association,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Diabetes Link at Brown, The","The Diabetes Link establishes a space for diabetics on campus through community bonding events, such as cooking nights, 5k run , or craft activities. They also conduct community outreach initiatives with local food pantries, soup kitchens, WaterFire Providence, and Providence Public Schools. This includes free blood glucose screening clinics, educational tabling, and high school education initiatives.",diabetes@brown.edu,Antwan Bluster,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/browndiabeteslink,,,,,,,https://studentactivities.brown.edu/organizations/diabetes-link-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Doctors & Engineers Without Borders,"Doctors and Engineers Without Borders Club partners with local and international organizations to help in any way we can. This mostly includes fundraising, volunteering, and logistical planning. The club also seeks to use social media to educate Brown's campus about current humanitarian efforts.",withoutborders@brown.edu,Antwan Bluster,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/withoutbordersbrown,,,,,,,https://studentactivities.brown.edu/organizations/doctors-engineers-without-borders,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Dominican Students at Brown,"Dominican Students at Brown is an organization that cultivates a strong sense of community on campus through events and fundraisers which celebrate all parts of Dominican culture, including music, food, and artistic expressions. This group is open to all Brown students, creating strong networks with other cultural organizations on campus and universities at the annual National Dominican Students Conference, and actively engages with local businesses. The organization works to create a space for everyone to learn about various cultures.",dominicans@brown.edu,Antwan Bluster,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/dominicansatbrown,,,,,,,https://studentactivities.brown.edu/organizations/dominican-students-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Dream Team, The Brown","The The Brown Dream Team is a student group that is dedicated to uplifting and fighting for the equity of Undocumented+ students and the wider undocumented+ population throughout the country. The Dream Team holds community events, informative tabling, and peer-to-peer mentoring.",browndreamteam@brown.edu,Antwan Bluster,Category 1,UCS Recognized Undergrad Student Groups,,https://instagram.com/browndreamteam,,,,,,,https://studentactivities.brown.edu/organizations/dream-team-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Effective Altruism, Brown University","Brown's Effective Altruism Club brings together all students interested in using evidence and reason to tackle the world’s most pressing problems. The club hosts speaker events, reading groups, and discussions focused on high-impact careers, global health, existential risks, and other core topics in effective altruism.",effectivealtruism@brown.edu,Cassie Sutten Coats,Category 1,UCS Recognized Undergrad Student Groups,,https://instagram.com/browneffectivealtruism,,,,,,,https://studentactivities.brown.edu/organizations/effective-altruism-brown-university,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Ensemble Theatre at Brown,"Ensemble Theatre @ Brown' produces two mainstage productions a year. The production in the fall is a no cuts show meaning anyone who auditions gets a role in the show. The goal of each production is to tell impactful stories while creating a welcoming and creative atmosphere for anyone to learn and grow as a performer, designer, director, stage manager, and more.",ensembletheatre@brown.edu,Jen Lucero,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brown.ensemble,https://www.facebook.com/BrownEnsembleTheatre,,,,,,https://studentactivities.brown.edu/organizations/ensemble-theatre-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Environmental Health Club,"Environmental Health Club is dedicated to igniting the environmental health movement at Brown. By uniting Brown students with health care workers, public health experts, community leaders, and environmental advocates, Environmental Health Club will increase awareness about the most pressing environmental health issues in Providence and challenge students to engage with the environmental justice issues in their community.",environmentalhealth@brown.edu,Cassie Sutten Coats,Category 1,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownenvironmentalhealth,,,,,,,https://studentactivities.brown.edu/organizations/environmental-health-club,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Eritrean and Ethiopian Student Association, Brown","The Brown Ethiopian Eritrean Student Association (BEESA) is a student-led organization dedicated to celebrating, uplifting, and uniting students of Ethiopian and Eritrean heritage at Brown University. Through cultural events, community-building activities, and educational programming, BEESA fosters a strong sense of belonging while promoting awareness of the diverse histories, traditions, and contemporary issues facing the Horn of Africa. Open to all students, BEESA serves as a vibrant space for cultural exchange, dialogue, and solidarity on campus.",beesa@brown.edu,Antwan Bluster,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brown.eesa,,,,,,,https://studentactivities.brown.edu/organizations/eritrean-and-ethiopian-student-association-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Esports Team, Brown",Brown Esports provides a space for any Brown student who is interested in video games to interact with other students who are also have similar interests. This includes those who are interested in competing in tournaments as well as those who are playing casually with other students.,esports@brown.edu,Malcom Moniz,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brown_esports,,,,,,,https://studentactivities.brown.edu/organizations/esports-team-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Every Vote Counts - Brown,"Every Vote Counts (EVC) @ Brown aims to promote democracy, voting rights, and civic engagement and to conduct this work on campus, in the Providence and Rhode Island communities, and nationally. They do this by directly encouraging voter turnout among Brown students, working with community organizations and representatives to promote voting rights legislation in RI, and researching civic engagement patterns among students and Providence residents. Eligibility to EVC is open to all full-time undergraduate members of the Brown community and does not discriminate on the basis of race, color, religion, sex, age, national or ethnic origin, disability, status as a veteran, sexual orientation, gender identity, gender expression, or caste. Majority membership consists of full-time undergraduate students.",evc@brown.edu,Cassie Sutten Coats,Category 1,UCS Recognized Undergrad Student Groups,,https://instagram.com/everyvotecountsbrown,,,,,,,https://studentactivities.brown.edu/organizations/every-vote-counts-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,fashion@brown,"Fashion@Brown is the largest fashion student-run organization that serves as the point of interaction with creatives and leaders in the world of fashion at large. F@B engages and unites fashion-oriented minds on campus through editorial and social media content, workshops, photo shoots, runway shows, and guest speakers. It enables students to express themselves through fashion’s various mediums, including apparel design, editorial, photography, videography, graphic design, and personal style. F@B is committed to welcoming all students and providing them the opportunity to express themselves in all of the rich diversity the fashion industry has to offer.",fashion@brown.edu,Cassie Sutten Coats,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/fashionatbrown,,,,,,,https://studentactivities.brown.edu/organizations/fashionbrown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Federalist Society, Brown","We are a student chapter of the national Federalist Society. We host speaker events on contemporary legal topics. Past speakers include Cory Liu, Jennifer Mascott, Michael Paulsen, Stephen Halbrook, Eugene Volokh, Nadine Strossen, Randy Barnett and Ilya Somin.",FedSoc@brown.edu,Cassie Sutten Coats,Category 1,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownfedsoc,,,,,,,https://studentactivities.brown.edu/organizations/federalist-society-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Fermata Composers Collective,Fermata Composers Collective is a student music group that works to build connections across campus and initiate collaboration between composers and performers. The Board organizes concerts and events every semester to showcase student works in diverse styles and genres. Fermata aims to make participation in any and all capacities as accessible as possible for people of all experience levels and backgrounds.,fermata@brown.edu,Jen Lucero,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownfermata,,,,,,,https://studentactivities.brown.edu/organizations/fermata-composers-collective,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Fiction for Kids,"Fiction for Kids creates, illustrates, translates, and donates personalized children’s books to kids in need. We bring joy through art and storytelling while promoting literacy, creativity, and inclusion. Open to all Brown students, we welcome writers, artists, translators, and volunteers dedicated to uplifting young readers in hospitals, shelters, schools, and beyond.",fictionforkids@brown.edu,Antwan Bluster,Category 2,UCS Recognized Undergrad Student Groups,,,,,,,,,https://studentactivities.brown.edu/organizations/fiction-kids,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
